,params,distance,image_result
100,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5472,./output/Posibility: 100 | Effort: 5472.png
126,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5481,./output/Posibility: 126 | Effort: 5481.png
46,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5481,./output/Posibility: 46 | Effort: 5481.png
20,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5486,./output/Posibility: 20 | Effort: 5486.png
13,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5494,./output/Posibility: 13 | Effort: 5494.png
31,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5502,./output/Posibility: 31 | Effort: 5502.png
142,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5502,./output/Posibility: 142 | Effort: 5502.png
71,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5504,./output/Posibility: 71 | Effort: 5504.png
87,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5510,./output/Posibility: 87 | Effort: 5510.png
135,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5516,./output/Posibility: 135 | Effort: 5516.png
109,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5524,./output/Posibility: 109 | Effort: 5524.png
133,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5525,./output/Posibility: 133 | Effort: 5525.png
